Rank,BSE,p/e,eps_2022,eps_2021,eps_2020,CAGR,Market Price
,RELIANCE,36.3,57.77,50.39,45.7,31,"2,223"
,TCS,29.8,104.36,83.7,88.64,24,"3,179"
,HDFCBANK,20.8,66.65,56.44,47.89,17,"1,573"
,INFY,26.2,50.48,42.36,36.49,37,"1,421"
,HINDUNILVR,58.7,37.53,33.85,31.12,7,"2,447"
,HDFC,30.3,75.8,66.67,102.59,13,"2,564"
,ICICIBANK,19.6,33.59,23.41,12.25,32,836
,KOTAKBANK,32.9,43.19,35.14,31.09,9,"1,693"
,SBIN,11.1,35.49,22.87,16.23,35,530
,BAJFINANCE,35.7,104.89,65.64,81.12,19,"5,732"
,BHARTIARTL,211,-6.16,-42.82,-61.74,19,757
,HCLTECH,25.9,40.07,32.22,33.05,35,"1,108"
,WIPRO,16.7,22.14,18.36,15.19,30,376
,ITC,26.1,12.22,10.59,12.31,36,376
,ASIANPAINT,72.1,32.68,31.82,27.67,18,"2,863"
,AXISBANK,13.3,42.43,21.5,5.77,20,837
,MARUTI,34.6,124.68,140.02,187.06,14,"8,317"
,LT,39.8,56.08,84,47.58,32,"2,196"
,DMART,85.1,24.95,17.99,20.84,18,"3,311"
,ULTRACEMCO,36.8,244.8,185.07,189.02,28,"7,290"
,NESTLEIND,76.1,222.46,215.98,204.16,9,18443.8
,BAJAJFINSV,280,2.67,1.12,4.19,23,1295.2
,SUNPHARMA,88.6,-0.42,3.51,13.38,37,967.3
,HDFCLIFE,74.5,5.72,6.73,6.42,0,461.55
,ONGC,4.02,32.04,8.94,10.7,37,152.3
,TITAN,69.7,24.56,9.88,17.09,35,2451
,JSWSTEEL,31.4,69.1,34.72,21.89,57,662.65
,HINDZINC,12.1,22.79,18.89,16.11,33,304.8
,POWERGRID,10.7,24.51,17.11,15.5,24,232
,BAJAJ-AUTO,19.9,173.44,157.4,176.25,19,3799.95
,TATAMOTORS,467,-4.19,-7.21,-23.6,75,415.65
,NTPC,10,16.62,14.2,10.22,26,179.6
,TATASTEEL,6.73,27.03,14.27,5.99,56,105.05
,DIVISLAB,31.2,111.07,73.63,51.71,14,2800.65
,M&M,21.2,39.7,7.92,10.7,46,1167.95
,ATGL,197,4.59,4.29,3.97,103,888.45
,SHREECEM,63.6,658.7,640.77,435.19,8,25471.35
,TECHM,26.9,50.55,43.78,46.95,24,1117.75
,DABUR,66.3,8.11,7.82,6.62,8,534.55
,BPCL,0,0,0,0,0,350.9
,PIDILITIND,98,24.96,21.28,21.68,15,2341.1
,IOC,26.6,17.13,15.46,0.93,10,79.93
,SBICARD,30.5,17.14,10.47,13.26,0,727.8
,SBILIFE,66.4,15.05,14.56,14.22,16,1063.1
,COALINDIA,8.84,18.18,12.4,18.31,15,220.75
,GRASIM,32.3,46.35,13.75,19.58,42,1559.75
,BRITANNIA,57.8,66.56,73.07,61.73,18,4313.05
,VEDL,6.58,46.39,28.26,-18.11,56,275.15
,DRREDDY,31.3,97.53,131.47,176.79,17,4383
,GODREJCP,64.1,14.46,11.97,11.54,22,932.65
,HINDALCO,21.5,24.51,4.42,2.76,51,385.05
,INDUSINDBK,11.8,59.52,36.68,63.7,19,1017.3
,BERGEPAINT,69.1,7.72,7.01,7.2,10,603.5
,ICICIPRULI,76.4,5.25,6.69,7.44,7,409.65
,EICHERMOT,33.5,58.01,48.65,69.71,20,3035.4
,CIPLA,25.5,36.66,30.61,28.75,30,883.8
,DLF,59.3,5.39,4.26,9.15,37,360
,INDUSTOWER,14.9,23.63,12.39,9.44,-8,153.3
,ICICIGI,32.8,25.89,32.4,26.27,0,1061.2
,SIEMENS,80.6,42.99,30.97,21.24,43,3262.8
,HAVELLS,70.2,19.08,16.61,11.71,28,1184.1
,GAIL,9.81,15.56,7.34,9.79,30,109.6
,INDIGO,0,0,0,0,0,1865.4
,HDFCAMC,25.8,65.32,62.26,59.32,-12,1681.95
,HEROMOTOCO,17.6,123.77,148.37,181.9,9,2371.85
,NAUKRI,78.7,692.83,21.62,16.79,18,3425.85
,TATACONSUM,70.3,9.61,6.72,5.68,36,693.75
,AMBUJACEM,35.5,10.48,9.02,7.7,30,378.6
,MARICO,49.6,9,8.56,7.8,25,488.85
,AUROPHARMA,19.2,24.83,53.13,32.03,5,473.9
,BANDHANBNK,10.2,0.78,13.69,18.78,-7,204.4
,MUTHOOTFIN,10.6,98.53,92.78,75.26,13,930.6
,LUPIN,110,-4.15,27.74,16.06,2,666.75
,UPL,29,15.39,2.88,6.03,27,696.15
,BIOCON,139,0.72,2.34,3.67,-8,221.85
,TORNTPHARM,49.4,29.3,33.62,27.73,16,1552.9
,BOSCHLTD,38.8,412.7,163.59,220.32,20,18123.5
,COLPAL,38.1,39.65,38.07,30.02,9,1499.75
,NMDC,6.66,32.07,21.34,11.79,26,113.1
,GLAND,19.9,73.78,60.94,49.88,0,1217.55
,APOLLOHOSP,61.8,46.26,7.3,33.8,45,4320.65
,CHOLAFIN,25,26.15,18.47,12.84,52,748.9
,PGHH,88.1,177.37,200.79,133.42,11,13393.9
,PNB,34,3.14,1.93,0.5,11,48.03
,PEL,5.19,23.97,1.77,6.42,11,692.05
,SAIL,12,29.09,9.32,4.89,46,85.34
,JUBLFOOD,63.3,6.63,3.54,4.17,17,425.25
,BAJAJHLDNG,38.9,146.51,17.84,164.15,31,6108.75
,YESBANK,49.1,0.43,-1.38,-13.08,-36,14.89
,BANKBARODA,7.45,14.06,1.6,1.18,34,159.65
,IDBI,15.7,2.27,1.26,-12.41,29,44.4
,HONAUT,77.7,383.57,520.32,555.88,6,34743.85
,PIIND,39.7,54.03,46.83,32.03,33,2978.3
,JINDALSTEL,8.49,81.2,70.14,6.06,75,553.85
,GODREJPROP,48.5,18.92,-1.55,15.24,14,1102.05
,HINDPETRO,0,0,0,0,0,244.8
,IGL,20.5,18.78,14.37,16.24,5,427.45
,PETRONET,10.3,22.35,19.66,17.98,5,237.75
,SRF,35.2,50.84,31.23,33.9,53,2311.25
,MRF,62.5,1526,29450,3289,10,83204.55
